A&A	Astronomy and Astrophysics
BABel	Bulletin Astronomique de Belgrade
BADPG	Berlin East Germany Akademie Verlag GmbH Ergebnisse Plasmaphysik und Gaselektronik
BAFOE	Bulletin Association Fran. Obs. Etoiles Variables
BAICz	Bulletin of the Astronomical Institutes of Czechoslovakia
BAIS	Bulletin of the Astronomical Interplanetary Society
BaltA	Baltic Astronomy
BAMaS	Bulletin of the American Mathematical Society
BAMS	Bulletin of the American Meteorological Society
BAN	Bulletin of the Astronomical Institutes of the Netherlands
BANS	Bulletin of the Astronomical Institutes of the Netherlands Supplement Series
BAOM	Boletin de la Astronomico Observatorio de Madrid
BAORB	Bulletin of the Astronomical Observatoire Royale de Belgique
BaPhL	Balkan Physics Letters
BAPS	Bulletin of the American Physical Society
BAPSS	Bulletin de l'Academie Polonaise des Sciences Series des Sciences Mathematiques Astronomiques et Physiques
BARB	Bulletin de l'Academie Royale de Belgique
BASBr	Bulletin of the Astronomical Society of Brazil
BASI	Bulletin of the Astronomical Society of India
BASIP	Bulletin of the Astronomical Society of India Proceedings
BasR	Basin Research
BAST	Bulletin of Atmospheric Science and Technology
BAth	National Observatory of Athens Greece Bulletin of the Astronomical Institute
BAVMM	Berlin East Germany Akademie Verlag GmbH Shriftenreihe des Zentralinstituts Mathematik und Mechanik
BAVMS	BAV Magazine Spectroscopy
BAVSM	Berliner Arbeitsgemeinschaft fuer Veraenderliche Sterne - Mitteilungen
BAVSO	Bulletin of the American Association of Variable Stars Observers
BAVSR	BAV Rundbrief - Mitteilungsblatt der Berliner Arbeits-gemeinschaft fuer Veraenderliche Sterne
BAWMN	Bayerische Akademie Wissenschaften mathematisch naturwissenschaftliche Klasse Sitzungsberichte
BayAn	Bayesian Analysis
BBCEn	BBC Engineering
BBGPC	Berichte der Bunsen-Gesellschaft Physical Chemistry Chemical Physics Berichte
BBSAG	Bulletin der Bedeckungsveraenderlichen-Beobachter der Schweizerischen Astronomischen Gesellschaft
BBUSM	Babes Bolyai Universitas Studia Series Physica
BBUSS	Babes Bolyai Universitas Studia Series Mathematica
BCAIC	Bulletin of the Central Astronomical Institute of Czechoslovakia
BCFHT	Bulletin d'information du telescope Canada-France-Hawaii
BCNRC	Canada National Research Council Division Mechanical Engineering National Aeronautical Establishment Quarterly Bulletin
BCNRS	Bulletin Signaletique - Centre National de la Recherche Scientifique
BCrAO	Bulletin Crimean Astrophysical Observatory
BCSAB	Bulletin Cl. Science Academy Royal de Belgique
BDus	Byulleten' Instituta Astrofiziki Dushanbe Akademiya Nauk Tadzhikskoj SSR
BdWis	Bild der Wissenschaften
BeElM	Beskontaktnye Elektricheskie Mashiny
BeiGe	Beitraege zur Geophysik
BeiMP	Beitraege zur Mineralogie und Petrographie
BeiRe	Reprints Beijing Astronomical Observatory Academia Sinica
BePl	Beitraege Plasmaphysik
BEPM	Bielefeld Encounters in Physics and Mathematics
BerAJ	Berliner Astronomisches Jarbuch
Bes1K	Observatoire de Besancon
BESBe	Beobachtungs-Ergebnisse der Koniglichen Sternwarte zu Berlin
BeSN	Be Star Newsletter
BFWSG	Braunschweig Friedr Vieweg und Sohn GmbH
BGBGM	Berlin Gebrueder Borntraeger Geoexploration Monographs Series
BGD	Biogeosciences Discussions
BGeo	Biogeosciences
BGeod	Bulletin Geodesique
BGNS	Bulletin Geodesique, Nouvelle Series
BGSA	Bollettino Geod. Scienzi Affini
BHarO	Harvard College Observatory Bulletin
BIAst	Bjull. Inst. Astrofizikii
BIBGI	Bulletin d'Information du Bureau Gravimetrique International
BiBi	Bioinspiration and Biomimetics
BICDS	Bulletin d'Information du Centre de Donnees Stellaires
BIEBe	Bulletin d'Information d'Etoiles Be
BIHCD	Bureau Internationale Heure, Paris, Circulaire
BiLuf	Bildmessung und Luftbildwessen
BIMAF	Boletin del Instituto de Matematica Astronomica y Fisica Universidad Nacional de Cordoba Argentina
BIMIA	Bulletin of the Institute of Mathematics and Its Applications
BioFa	Biofabrication
BioMa	Biomedical Materials
Bion	Bionika
Biopk	Biophysik
BioSc	BioScience
BIRM	Brussels Institute Royal Meteorologique de Belgique
BIT	Behaviour & Information Technology
BITA	Byulleten' Instituta Teoreticheskoj Astronomii (Leningrad)
BITad	Biulletini of the Astronomical Institute Akademiia Nauk Tadzhikskoi
BITon	Boletin del Instituto de Tonantzintla
BJAP	British Journal of Applied Physics
BJHS	The British Journal for the History of Science
BKAD	Beobachtungen der Kaiserlichen Universitaets-Sternwarte Dorpat
BKoAS	Bulletin of Korean Astronomical Society
BKobO	Bulletin of the Kobe Marine Observatory Kobe Japan
BKUJ	Beobachtungen der Kaiserlichen Universitaets-Sternwarte Jurjew
BLabR	AT and T Bell Laboratories Record
BlazD	BLAZAR Data
BlDok	Bolgarska Akademiia Nauk Doklady
BlgAJ	Bulgarian Astronomical Journal
BlGeo	Bulgarska Akademiia Naukite Geofizichni Institut Izvestiia
BlGJ	Bulgarian Geophysical Journal
BlGSp	Bulgarsko Geofizichno Spisanie
BlJMH	Bulgarian Journal of Meteorology and Hydrology
BlJPh	Bulgarian Journal of Physics
BlJPS	Bulgarian Journal of Physics Supplement
BlMat	Bulgarska Akademiia Naukite Matematicheski Institut Izvestiia
BLPI	Bulletin of the Lebedev Physics Institute
BlSpi	Bulgarska Akademiia Naukite Spisanie
BlTek	Bulgarska Akademiia Naukite Institut Tekhnicheska Kibernetika Izvestiia
BlTse	Bulgarska Akademiia Naukite Tsentralna Laboratoriia Geodeziia Izvestiia
BMai	Bulletin de la Station Astrophotographique de Mainterne
BMFRS	Biographical Memoirs of Fellows of the Royal Society
BMNAS	Biographical Memoirs National Academy of Sciences
BMOE	Boletin mensual del Observatorio del Ebro
BMP	Biological and Medical Physics
BOBeo	Bulletin de l'Observatoire Astronomique de Belgrade
BoLMe	Boundary-Layer Meteorology
BOOde	Odesskij Gosudarstvennyi Universitet im. I. I. Mechnikova Byulletin Astronomicheskoj Observatorii
BOPul	Bulletin (Izvestiya) de l'Observatoire Central a Poulkovo
BoSAI	Bollettino della Societa Astronomica Italiana
BOTor	Biuletyn Obserwatoium Astronomicznego Uniwersytetu M. Kopernika w Toruniu
BOTT	Boletin de los Observatorios Tonantzintla y Tacubaya
BPAS	Bulletin of Pure and Applied Science (Physics)
BpBeS	Biophysics and Bioengineering Series
BpJ	Biophysical Journal
BpRL	Biophysical Reviews and Letters
BRASP	Bulletin of the Russian Academy of Sciences, Physics
BRIOA	Boletin Real Instituto y Observatorio de la Armada (San Fernando, Cadiz)
BrJPh	Brazilian Journal of Physics
BRMIC	Behavior Research Methods Instruments and Computers
BROGS	Belgian Royal Observatory Communications Series Geophysics Series
BrWK	Brennstoff Waerme Kraft
BSAE	Bulletin of the Soviet Antarctic Expedition
BSAF	Bulletin de la Societe Astronomique de France
BSAFR	Bulletin de la Societe Astronomique de France et Revue Mensuelle d'Astronomie, de Meteorologie et de Physique du Globe
BSAL	Bulletin de la Societe Astronomique de Liege
BSAO	Bulletin of the Special Astrophysics Observatory
BSASP	Bulletin de la Societe des Amis des Sciences et des Lettres de Poznan
BSAst	Bulletin of the Section of Astronomy
BSBA	Bulletin de la Societe Belge d'Astronomie
BSD	Hamburger Sternwarte Bergedorf
BSEEA	Iasi Institutul Politehnic Buletinul Sectia Electrotehnica Electronica Automatizari
BSMMT	Iasi Institutul Politehnic Buletinul Sectia Matematica Mecanica Teoretica Fizica
BSMT	Iasi Institutul Politehnic Buletinul Sectia Mecanica Tehnica
BSolD	Byulletin Solnechnye Dannye Akademie Nauk SSSR
BSRSL	Bulletin de la Societe Royale des Sciences de Liege
BSSR	AN BSSR Institut Teplo i Massoobmena Vsesoiuznaia Konferentsiia Teplomassoobmenu Minsk Belorussian SSR Preprint
BStaO	Byulleten' Stalinabadskoj Astronomicheskoj Observatorii Akademiya Nauk Tadzhikskoj SSR
BSTJ	Bell System Technical Journal
BTasO	Bulletin of the Tashkent Observatory
BTE	British Telecommunications Engineering
BToIT	Bulletin of the Tokyo Institute of Technology
BTok	Bulletin of the Tokyo Astronomical Observatory
BTSNU	Bulletin of Taras Shevchenko National University of Kyiv Astronomy
BTUM	Braunschweig Technische Universitaet Mitteilungen
BUAAJ	Beijing University Aeronautics and Astronautics Journal
BuAkK	Budapest Akademiai Kiado
BuAsI	Bulletin Astronomique, Serie I
BuAsR	Bulletin Astronomique, Revue Generale des Travaux Astronomiques
BuAst	Bulletin Astronomique
BuAtS	Bulletin of the Atomic Scientists
BUBes	Bulletin of the University of Besancon Observatory
BuChr	Bulletin Chronometrique (Besancon)
BuENS	Osaka Prefecture University Bulletin Series Engineering Natural Sciences
BUEOP	Bulletin of Ukrainian Earth Orientation Parameters Laboratory
BuGeo	Bulletin of Geosciences
BuIPS	Bulletin of the Israel Physical Society
BuKwa	Bulletin of the Kwasan Observatory, Kyoto
BuLMS	Bulletin of the London Mathematical Society
BuLPI	Bulletin of the Lebedev Physics Institute
BuLyo	Bulletin de l'Observatoire de Lyon
BuMat	Bulletin Mathematique
BuONC	Bulletin of the Special Astrophysical Observatory, Northern Caucasus
BuSSA	The Bulletin of the Seismological Society of America
BuYer	Bulletin of the Yerevan Astronomical Observatory
BVol	Bulletin of Volcanology
BVVSA	Bratislava Veda Vydavatelstvo Slovenskej Akademie Vied
BYam	Bulletin of the Yamagata University Yamagata Japan
ByuRe	Byurakan Astrophysical Observatory Armenia USSR Reprints
C&E	Ciel et Espace
C&T	Ciel et Terre
CaASJ	Canadian Aeronautics and Space Journal
CAD	Computer-Aided Design
CAGHS	Correspondance Astronomique, Geographique, Hydrographique et statistique
CahPh	Cahiers de Physique
cait.rept	California Institute of Technology Report
CaJCh	Canadian Journal of Chemistry
CaJES	Canadian Journal of Earth Sciences
CaJPh	Canadian Journal of Physics
CaJPS	Canadian Journal of Physics Supplement
CaJRS	Canadian Journal of Remote Sensing
CANM	Communications in Applied Numerical Methods
CAP	Current Applied Physics
CAPJ	Communicating Astronomy with the Public Journal
CaRes	Cancer Research
CarOB	Carter Observatory Wellington New Zealand Astronomical Bulletins
CAS	Cambridge Astrophysics Series
CASI	CASI Transactions
CASJQ	Canadian Aeronautics and Space Journal Quarterly
CBET	Central Bureau Electronic Telegrams
CBOAA	Comet Bulletin of the Oriental Astronomical Association
CCCUK	Comet Circular of the Chevchenkov University Kiev
CCDA	CCD Astronomy
CCM	Clays and Clay Minerals
CCoPh	Communications in Computational Physics
CCpFS	Ceskoslovensky Casopis pro Fyziku Sekce
CEAB	Central European Astrophysical Bulletin
CEAS	CEAS Space Journal
CEE	Computers and Electrical Engineering
CEEJ	Canadian Electrical Engineering Journal
CEEng	Civil And Environmental Engineering Reports
CEER	Civil And Environmental Engineering Reports
CEGB	CEGB Research
CEJ	Chemistry A European Journal
CEJE	Central European Journal of Engineering
CEJG	Central European Journal of Geosciences
CEJGl	Central European Journal of Geology
CEJPh	Central European Journal of Physics
CeMDA	Celestial Mechanics and Dynamical Astronomy
CeMec	Celestial Mechanics
Cent	Centaurus
CEnTp	Engineering Thermophysics China
CEST	Communications Gillies Inc Electronic Systems in Transportation
CESW	Combustion, Explosion and Shock Waves
CF	Computers and Fluids
CG	Computers and Geosciences
CGDAM	Conformal Geometry and Dynamics of the American Mathematical Society
CGIP	Computer Graphics Image Processing
ChA&A	Chinese Astronomy and Astrophysics
ChA	Chinese Astronomy
Chall	Challenges
Chaos	Chaos
ChCom	Chemical Communications
ChEG	Chemie der Erde / Geochemistry
ChEnC	Chemical Engineering Communications
ChEnN	Chemical & Engineering News
ChEnS	Chemical Engineering Science
ChGCS	Chemosphere - Global Change Science
ChGeo	Chemical Geology
ChIEJ	Chinese Institute of Engineers Journal
ChJA	Chinese Journal of Aeronautics
ChJAA	Chinese Journal of Astronomy and Astrophysics
ChJAS	Chinese Journal of Astronomy and Astrophysics Supplement
ChJCP	Chinese Journal of Chemical Physics
ChJG	Chinese Journal of Geophysics
ChJIR	Chinese Journal of Infrared Research
ChJL	Chinese Journal of Lasers
ChJLB	Chinese Journal of Lasers B
ChJME	Chinese Journal of Mechanical Engineering
ChJNP	Chinese Journal of Nuclear Physics
ChJOL	Chinese Journal of Oceanology and Limnology
ChJPh	Chinese Journal of Physics
ChJS	Chinese Journal of Semiconductors
ChJSS	Chinese Journal of Space Science
Chmsp	Chemosphere
ChNew	Chandra News
CHOCS	CHOCS
ChOE	China Ocean Engineering
ChOpL	Chinese Optics Letters
ChPAS	Republic of China National Science Council Proceedings Applied Sciences
ChPhB	Chinese Physics B
ChPhC	Chinese Physics C
ChPhL	Chinese Physics Letters
ChPhy	Chinese Physics
ChRST	China Rept Sci Technol JPRS CST
ChRv	Chemical Reviews
ChSAJ	Chinese Society of Astronautics Journal
ChSBu	Chinese Science Bulletin
ChSMJ	Chinese Society of Mechanical Engineers Journal
Chsph	Chemosphere
ChSST	Chinese Space Science Technology
CiARI	Circular of the Astronomisches Recheninstitut
CiBAA	Circular of the British Astronomical Association
CIBu	COSPAR Information Bulletin
CIDA	CIDA
Ciel	Le Ciel
CiInf	Circ. Inf.
CiPoJ	Circumpolar Journal
CIPSG	Canadian Information Processing Society Graphics Interface
CiSSV	Circolare Interna della Sezione Stelle Variabili dell'Unione Astrofili Italiani
cit..rept	California Instute of Technology Technical Report
CITM	Chubu Institute Technology Memoirs
CiUO	Circular of the Union Observatory Johannesburg
CJChE	Canadian Journal of Chemical Engineering
CJECE	Canadian Journal of Electrical Computer Engineering
CJLTP	Chinese Journal of Low Temperature Physics
CJRes	Canadian Journal of Research
CJSMT	Canadian Journal of Science Mathematics and Technology Education
CKH	Chagyo Kenkyu Hokoku (Tea Research Journal)
ClCh	Climatic Change
ClDy	Climate Dynamics
CLic2	Contributions of Lick Observatory, Series II
CliPa	Climate of the Past
CliPD	Climate of the Past Discussions
ClMin	Clay Minerals
CLNP	Cambridge Lecture Notes in Physics
CLP	Cargese Lectures in Physics
ClRes	Climate Research
CLS	Curved and Layered Structures
CMAME	Computer Methods in Applied Mechanics and Engineering
CMaPh	Communications in Mathematical Physics
CMDRG	Chislennye Metody Dinamike Razrezhennykh Gazov
CmEng	Communications Engineering
CMMPh	Computational Mathematics and Mathematical Physics
CmpEn	Composites Engineering
CMPh	Condensed Matter Physics
CmPhy	Communications Physics
Cmplx	Complexity
CmpMa	Composites Manufacturing
CMPNC	Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology
CMPPh	Cambridge Monographs on Plasma Physics
CmpSt	Composite Structures
CMT	Continuum Mechanics and Thermodynamics
CMwA	Computers and Mathematics with Applications
CMWCI	Contributions from the Mount Wilson Observatory / Carnegie Institution of Washington
CNan	Current Nanoscience
CNME	Communications in Numerical Methods in Engineering
CNRAe	CNR Aeritalia S
CNSMP	Comet News Service, McDonnell Planetarium
CNSNS	Communications in Nonlinear Science and Numerical Simulations
CoAMP	Comments on Atomic and Molecular Physics
CoAnk	Communications of the Department of Astronomy of Ankara University
CoAsi	Contributi dell'Osservatorio Astrofisica dell'Universita di Padova in Asiago
CoASP	Comments on Astrophysics and Space Physics
CoAst	Communications in Asteroseismology
CoBAO	Communications of the Byurakan Astrophysical Observatory
CoBos	Contributions from the Bosscha Observervatory
CoBrn	Contributions of the Public Observatory and Planetarium in Brno
CoCam	Contributions from the Cambridge Observatory England
CoCMP	Comments on Condensed Matter Physics
CoCoi	Comunicacoes do Observatonio Astronomico da Universidade de Coimbra
CoCom	Control and Computers
CODAB	CODATA Bulletin
CoDAO	Contributions from the Dominion Astrophysical Observatory in Victoria
CoDDO	Communications from the David Dunlap Observatory
CoDun	Contributions from the Dunsink Observatory Dublin Ireland
Coel	Coelum Periodico Bimestrale per la Divulgazione dell'Astronomia
CoFl	Combustion and Flame
CoFra	Consiglio Nazionale delle Ricerche Italia. Laboratorio di Astrofisica Frascati Roma Contributi
CoGG	Contributions to Geophysics and Geodesy
CogPh	Cogent Physics
CoIAP	Contributions de l'Institut d'Astrophysique de Paris Serie A
CoKit	Contributions from the Kitt Peak National Observatory
CoKon	Commmunications of the Konkoly Observatory Hungary
CoKwa	Contributions from the Kwasan and Hida Observatories University of Kyoto
CoKyo	Contributions from the Institute of Astrophysics and Kwasan Observatory Kyoto
CoLic	Contributions of Lick Observatory
colo.rept	Colorado University Report
CoLon	Communications of the University of London Observatory
CoLou	Contributions of the Louisiana State University Observatory Baton Rouge Louisiana
CoLPL	Communications of the Lunar and Planetary Laboratory
ColSu	Colloids and Surfaces
ComAC	Computational Astrophysics and Cosmology
ComAp	Comments on Astrophysics
CoMar	Circulaires de l'Observatoire de Marseille
CoMat	Communications Materials
ComBr	Communication Broadcasting
CoMcD	Contributions from the McDonald Observatory University of Texas Fort Davis
ComEE	Communications Earth and Environment
CoMil	Contributions dell'Osservatorio Astrononia di Milano-Merate
ComMP	Comments in Modern Physics
ComMS	Computational Materials Science
Commu	Communications
CoMP	Contributions to Mineralogy and Petrology
ComPh	Computers in Physics
CompJ	The Computer Journal
CompM	Computational Mechanics
Compo	Composites
Compr	Computer
Compu	Computing
CoMRA	Concepts in Magnetic Resonances A
CoMRB	Concepts in Magnetic Resonances B
ComSE	Computing Systems in Engineering
ComSo	Communications Society
ComSp	Commercial Space
ComST	Composites Science Technology
COMTR	COMSAT Technical Review
ConAP	Contributions to Atmospheric Physics/Beitraege zur Physik der Atmosphaere
ConCP	Contemporary Concepts in Physics
CoNet	Journal of Communications and Networks
CONMS	Contributions of the Observatory of New Mexico State University, Las Cruces Special Series
ConPh	Contemporary Physics
CoNPP	Comments on Nuclear and Particle Physics
ConSc	Connection Science
CoOpt	Computer Optics
CoORB	Communications de l'Observatoire Royal de Belgique
COP	Coherent Optical Phenomena
CoPer	Contributions of Perkins Observatory
CoPhC	Computer Physics Communications
CoPhR	Computer Physics Reports
CoPP	Contributions to Plasma Physics
CoPPC	Comments on Plasma Physics and Controlled Fusion
CoPri	Contributions from the Princeton University Observatory
CoROE	Communications from the Royal Observatory Edinburgh
